time,Lat,Lon,Alt,pressure,temp,humidity
12:50:19,420276338,-936541556,269333,99403,-720,64228
12:50:21,420276339,-936541558,268989,99403,-719,64293
12:50:24,420276360,-936541543,268566,99403,-718,64373
12:50:26,420276373,-936541534,268280,99403,-720,64450
12:50:28,420276378,-936541528,268181,99405,-719,64479
12:50:31,420276367,-936541540,267784,99405,-719,64536
12:50:33,420276375,-936541553,267348,99405,-720,64537
12:50:36,420276389,-936541556,266621,99403,-720,64594
12:50:38,420276413,-936541553,266154,99405,-721,64627
12:50:40,420276427,-936541561,265725,99405,-723,64634
12:50:43,420276406,-936541569,265694,99403,-724,64634
12:50:45,420276412,-936541567,265524,99405,-726,64631
12:50:48,420276432,-936541551,265473,99403,-726,64605
12:50:50,420276454,-936541526,265303,99403,-727,64579
12:50:52,420276460,-936541516,265287,99407,-727,64572
12:50:55,420276473,-936541501,265178,99407,-727,64586
12:50:57,420276483,-936541486,265027,99407,-728,64546
12:51:00,420276489,-936541476,264842,99407,-728,64552
12:51:02,420276491,-936541471,264808,99405,-730,64510
12:51:04,420276469,-936541489,264886,99405,-730,64536
12:51:07,420276468,-936541505,265064,99403,-730,64523
12:51:09,420276478,-936541507,264982,99403,-732,64464
12:51:12,420276495,-936541514,264836,99403,-732,64451
12:51:14,420276501,-936541520,264858,99403,-733,64431
12:51:16,420276502,-936541535,264602,99405,-733,64365
12:51:19,420276525,-936541534,264190,99403,-735,64322
12:51:21,420276532,-936541542,263921,99405,-737,64300
12:51:23,420276541,-936541549,263612,99405,-737,64267
12:51:26,420276551,-936541552,263203,99405,-737,64253
12:51:28,420276558,-936541550,263050,99405,-739,64204
12:51:31,420276569,-936541558,262848,99407,-739,64197
12:51:33,420276578,-936541555,262658,99407,-740,64145
12:51:35,420276586,-936541554,262419,99407,-740,64138
12:51:38,420276581,-936541562,262465,99407,-740,64138
12:51:40,420276562,-936541574,262747,99407,-742,64098
12:51:43,420276539,-936541583,263217,99409,-741,64112
12:51:45,420276546,-936541582,263095,99407,-742,64092
12:51:47,420276550,-936541587,263100,99407,-742,64098
12:51:50,420276528,-936541593,263002,99407,-742,64092
12:51:52,420276530,-936541602,262798,99405,-743,64075
12:51:55,420276548,-936541618,262430,99409,-743,64075
12:51:57,420276540,-936541612,262450,99407,-744,64069
12:51:59,420276536,-936541616,262293,99409,-743,64055
12:52:02,420276521,-936541605,262609,99407,-742,64065
